row,col,status,value,ink_ratio
0,0,blank,0,0.9281
0,1,number,2,0.1069
0,2,blank,0,0.9500
0,3,blank,0,0.9500
0,4,number,3,0.1113
0,5,blank,0,0.9494
0,6,blank,0,0.9275
0,7,number,4,0.1200
0,8,blank,0,0.9263
1,0,number,6,0.1275
1,1,blank,0,0.9256
1,2,blank,0,0.9500
1,3,blank,0,0.9500
1,4,blank,0,0.9500
1,5,blank,0,0.9500
1,6,blank,0,0.9263
1,7,blank,0,0.9256
1,8,number,3,0.1050
2,0,blank,0,0.9263
2,1,blank,0,0.9256
2,2,number,4,0.1194
2,3,blank,0,0.9494
2,4,blank,0,0.9500
2,5,blank,0,0.9263
2,6,number,5,0.1113
2,7,blank,0,0.9256
2,8,blank,0,0.9287
3,0,blank,0,0.9506
3,1,blank,0,0.9506
3,2,blank,0,0.9750
3,3,number,8,0.1469
3,4,blank,0,0.9750
3,5,number,6,0.1313
3,6,blank,0,0.9744
3,7,blank,0,0.9744
3,8,blank,0,0.9744
4,0,number,8,0.1406
4,1,blank,0,0.9750
4,2,blank,0,0.9750
4,3,blank,0,0.9975
4,4,number,1,0.0769
4,5,blank,0,0.9750
4,6,blank,0,0.9744
4,7,blank,0,0.9738
4,8,number,6,0.1294
5,0,blank,0,0.9750
5,1,blank,0,0.9750
5,2,blank,0,0.9750
5,3,number,7,0.0850
5,4,blank,0,0.0000
5,5,number,5,0.1138
5,6,blank,0,0.9744
5,7,blank,0,0.9750
5,8,blank,0,0.9744
6,0,blank,0,0.9750
6,1,blank,0,0.9750
6,2,number,7,0.0862
6,3,blank,0,0.9744
6,4,blank,0,0.9750
6,5,blank,0,0.9506
6,6,number,6,0.1294
6,7,blank,0,0.9506
6,8,blank,0,0.9506
7,0,number,4,0.1031
7,1,blank,0,0.9731
7,2,blank,0,0.9756
7,3,blank,0,0.9988
7,4,blank,0,0.0000
7,5,blank,0,0.9750
7,6,blank,0,0.9750
7,7,blank,0,0.9744
7,8,number,8,0.1444
8,0,blank,0,0.9750
8,1,number,3,0.1094
8,2,blank,0,0.9762
8,3,blank,0,0.9988
8,4,number,4,0.1144
8,5,blank,0,0.9750
8,6,blank,0,0.9750
8,7,number,2,0.1000
8,8,blank,0,0.9750
